instance,IR,alpha,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
ds-big,1,0.0001,1.185067503902165e-05,0,604.5739340782166,2,1.0,1.0
ds-big,1,1.001,3.523813943008927e-06,0,604.0757639408112,2,1.0,1.0
ds-big,1,1.01,0.00012171168870651764,0,604.9515478610992,2,1.0,1.0
ds-big,1,1.1,0.00034398714211298167,0,604.6456589698792,2,1.0,1.0
ds-big,1,1.5,6.041657600056661e-06,0,604.5939419269562,2,1.0,1.0
neos-4647030-tutaki,1,1.001,2.096162568403783e-13,1,27.893211126327515,1,1.0,1.0
neos-4647030-tutaki,1,1.01,1.3017612561318752e-12,1,28.494017839431763,1,1.0,1.0
neos-4647030-tutaki,1,1.1,3.9541137607403837e-14,1,27.8438138961792,1,1.0,1.0
neos-4647030-tutaki,1,1.5,1.8587810028375259e-13,1,29.507241010665894,1,1.0,1.0
neos-5129192-manaia,1,1.001,2.3723680145070848e-08,0,604.9403400421143,3,1.0,1.0
neos-5129192-manaia,1,1.01,1.0208685507489036e-08,0,605.1570949554443,3,1.0,1.0
