instance,IR,alpha,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
30n20b8,0,0.0,8.96954971562436e-09,1,105.47275614738464,0,1.0,1.0
30n20b8,1,1.01,1.366205531930029e-09,1,97.11314105987549,1,1.0,27.27975840052538
30n20b8,1,1.1,2.204483324583643e-09,1,98.04700207710266,1,1.0,29.71062796096824
30n20b8,1,11.0,1.906254069383371e-09,1,98.71735119819641,1,1.0,297.10627960968236
30n20b8,1,101.0,2.1827157313644533e-09,1,99.18294310569763,1,1.0,2727.975840052538
cmflsp40-24-10-7,0,0.0,3.600251024477555e-08,1,15.586395978927612,0,1.0,1.0
cmflsp40-24-10-7,1,1.01,8.041680969124313e-10,1,124.99043798446655,1,4.869460785446413,62.644212510129435
cmflsp40-24-10-7,1,1.1,9.53377933530966e-10,1,165.89579606056213,1,5.303373132664411,68.22637006053701
cmflsp40-24-10-7,1,11.0,6.433440738265432e-10,1,231.71734714508057,1,53.0337313266441,682.2637006053701
cmflsp40-24-10-7,1,101.0,6.378262533214421e-09,1,1009.6236629486084,1,486.9460785446413,6264.421251012944
ex1010-pi,0,0.0,3.2047519265539514e-08,1,25.228248834609985,0,1.0,1.0
ex1010-pi,1,1.01,2.849546514571605e-10,1,55.19240689277649,1,1.0,1.0
ex1010-pi,1,1.1,3.0683773304284946e-10,1,58.18108296394348,1,1.0,1.0
ex1010-pi,1,11.0,9.068766123276557e-11,1,45.32307696342468,1,1.0,1.0
ex1010-pi,1,101.0,3.6728085580942934e-11,1,50.54840707778931,1,1.0,1.0
fhnw-schedule-pairb200,0,0.0,4.800486923001687e-15,1,23.591893911361694,0,1.0,1.0
fhnw-schedule-pairb200,1,1.01,6.645353464887903e-12,1,3.285032033920288,1,1.0,1.0
fhnw-schedule-pairb200,1,1.1,5.329642138785816e-16,1,3.361945867538452,1,1.0,1.0
fhnw-schedule-pairb200,1,11.0,2.664821069758827e-16,1,3.787283182144165,1,1.0,1.0
fhnw-schedule-pairb200,1,101.0,8.172118018127803e-15,1,3.8205909729003906,1,1.0,1.0
hgms30,0,0.0,0.0001391211072753248,0,3603.3909990787506,0,1.0,1.0
hgms30,1,1.01,0.0033928974757482383,0,3602.5986030101776,2,15.395653325547618,1.0
hgms30,1,1.1,0.0033928974757482383,0,3602.7205939292908,2,16.76754322584394,1.0
hgms30,1,11.0,0.0033928974757482383,0,3602.3683552742004,2,167.6754322584394,4.759878926862836
hgms30,1,101.0,0.0033928974757482383,0,3602.4151961803436,2,1539.5653325547619,43.70434287392241
iis-hc-cov,0,0.0,8.765986607159925e-08,1,36.32502484321594,0,1.0,1.0
iis-hc-cov,1,1.01,7.726213144544556e-10,1,60.23359203338623,1,1.0,1.0
iis-hc-cov,1,1.1,1.5407611705828887e-09,1,52.51743984222412,1,1.0,1.0
iis-hc-cov,1,11.0,2.0505884076177913e-10,1,59.940711975097656,1,1.0,1.0
iis-hc-cov,1,101.0,2.2892440197196618e-11,1,69.70618104934692,1,1.0,1.0
neos-1354092,0,0.0,4.912853330206408e-09,1,4.39061713218689,0,1.0,1.0
neos-1354092,1,1.01,2.9259058491641685e-10,1,11.74655795097351,1,1.0,1.0
neos-1354092,1,1.1,3.059780958734594e-10,1,10.970559120178223,1,1.0,1.0
neos-1354092,1,11.0,1.7549652585826166e-10,1,11.905393838882446,1,1.0,1.0
neos-1354092,1,101.0,1.172564447312148e-10,1,11.548155069351196,1,1.0,1.0
neos-2629914-sudost,0,0.0,2.1905513421827018e-08,1,23.087368965148926,0,1.0,1.0
neos-2629914-sudost,1,1.01,1.0545407210267822e-11,1,3.1806821823120117,1,1.0,1.0
neos-2629914-sudost,1,1.1,2.0137744087982855e-12,1,3.4899890422821045,1,1.0,1.0
