instance,IR,alpha,method,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
app1-2,1,1000.0,median,0.000533668658951438,0,600.8458950519562,2,1000000.0,64171.68420333992
app1-2,1,1000.0,other,3.318728498896477e-05,0,600.7221131324768,2,33.298555925181276,1.0
app1-2,1,10000.0,median,0.000605013630729581,0,600.825700044632,2,100000000.0,641716.8420333993
app1-2,1,100000.0,median,0.0006052554134262046,0,600.8589479923248,2,10000000000.0,6417168.420333993
bab5,0,0.0,reldiv,1.901319282284755e-08,1,9.877157926559448,0,1.0,1.0
bab5,0,0.0,relmult,1.901319282284755e-08,1,9.804597854614258,0,1.0,1.0
bab5,1,1.0,relmult,8.830865336404982e-11,1,19.57861018180847,1,1.0,1.0
bab5,1,5.0,relmult,2.6487078668005244e-10,1,24.577157020568848,1,25.0,25.0
bab5,1,10.0,relmult,2.8547107524872864e-10,1,24.840107917785645,1,100.0,100.0
bab5,1,50.0,relmult,2.8802440992739e-10,1,52.75039982795715,1,1225.351163733729,2500.0
bab5,1,1000.0,median,1.5028619426529927e-09,1,69.54804801940918,1,892953.83785811,98630.41760670027
bab5,1,1000.0,reldiv,2.0812005626504096e-11,1,22.472089052200317,1,1.0,1.0
bab5,1,10000.0,median,1.1062325274293332e-08,0,600.1397998332977,3,603084225653726.9,37280742782152.23
bab5,1,10000.0,reldiv,1.2660787648676104e-11,1,22.58980107307434,1,4.1185874798683155,2.9981863982232944
bab5,1,100000.0,median,3.8679766462578534e-10,1,149.18130707740784,1,89295383.785811,9863041.760670027
bab5,1,100000.0,reldiv,2.7972029477546997e-11,1,24.185266971588135,1,41.18587479868316,29.98186398223294
blp-ic98,0,0.0,reldiv,6.027825086563718e-08,1,12.967411994934082,0,1.0,1.0
blp-ic98,0,0.0,reldiv_2,3.772001458333599e-08,1,46.992117166519165,0,1.0,1.0
blp-ic98,0,0.0,relmult,6.027825086563718e-08,1,13.269292116165161,0,1.0,1.0
blp-ic98,1,1.0,relmult,2.5974972735855076e-09,1,26.795877933502197,1,1.0,1.0
blp-ic98,1,5.0,relmult,3.4996235276868303e-10,1,27.190845012664795,1,1.5732074390935613,1.726563324244828
blp-ic98,1,10.0,relmult,3.643095812753796e-10,1,25.595205783843994,1,3.1464148781871226,3.453126648489656
blp-ic98,1,50.0,relmult,2.0611475662279253e-10,1,26.713286876678467,1,15.732074390935612,17.26563324244828
blp-ic98,1,100.0,relmult,2.5497035892633854e-10,1,25.431782007217407,1,31.464148781871224,34.53126648489656
blp-ic98,1,1000.0,median,5.187611400557757e-09,1,15.504016876220703,1,1000000.0,1000000.0
blp-ic98,1,1000.0,other,5.284742573968256e-11,1,22.964884042739868,1,12.083021269507556,172.6563324244828
blp-ic98,1,1000.0,reldiv,6.607692666946061e-11,1,29.179996013641357,1,1.0,86.3281662122414
blp-ic98,1,1000.0,reldiv_2,5.188119372015379e-11,1,80.70377802848816,1,1.0,70.61780052057617
blp-ic98,1,1000.0,relmult,1.2102824180365927e-10,1,51.185563802719116,1,314.6414878187122,345.3126648489656
blp-ic98,1,10000.0,median,2.502102843555741e-11,1,34.25827097892761,2,1086485222726.5388,1e+16
blp-ic98,1,10000.0,reldiv,4.8380000879251405e-11,1,26.59773588180542,1,4.640182831944043,863.281662122414
blp-ic98,1,10000.0,reldiv_2,5.051520176944745e-11,1,97.42614102363586,1,5.428119040807736,706.1780052057617
blp-ic98,1,100000.0,median,9.178621730045515e-09,1,19.643877029418945,1,10000000000.0,10000000000.0
blp-ic98,1,100000.0,reldiv,2.991210685229468e-11,1,32.46888709068298,1,46.40182831944043,8632.81662122414
blp-ic98,1,100000.0,reldiv_2,1.3218767465222343e-11,1,98.03212094306946,1,54.28119040807737,7061.7800520576175
bppc6-02,0,0.0,reldiv,1.5742184240850167e-09,1,3.893389940261841,0,1.0,1.0
bppc6-02,0,0.0,relmult,1.5742184240850167e-09,1,3.8815760612487793,0,1.0,1.0
bppc6-02,1,1.0,relmult,4.4254972009761135e-11,1,15.300491094589233,1,1.0,1.0
bppc6-02,1,5.0,relmult,8.681370021319603e-11,1,11.475961923599243,1,1.0,1.0
bppc6-02,1,10.0,relmult,1.11201547907696e-10,1,27.96704602241516,1,1.0,1.0
bppc6-02,1,50.0,relmult,3.925334827988556e-11,1,24.70584797859192,1,1.0,1.0
bppc6-02,1,1000.0,median,4.302633151703492e-11,1,99.28774809837341,1,256.2759885883077,18285.374753406777
bppc6-02,1,1000.0,other,4.144942548743799e-11,1,30.056939840316772,1,1.0,1.0
bppc6-02,1,1000.0,reldiv,4.144942548743799e-11,1,29.413681983947754,1,1.0,1.0
bppc6-02,1,10000.0,median,8.279847890008971e-11,1,72.03060603141785,1,256.2759885883077,182853.74753406775
bppc6-02,1,10000.0,reldiv,1.038261732501019e-12,1,39.37321615219116,1,1.0,1.0
bppc6-02,1,100000.0,median,4.118736256944307e-10,1,74.28611016273499,1,256.2759885883077,1828537.4753406774
bppc6-02,1,100000.0,reldiv,1.6095634955685752e-12,1,51.98778414726257,1,7.312778152443737,1.0
bppc6-06,0,0.0,reldiv,1.99509476342081e-09,1,4.02322793006897,0,1.0,1.0
bppc6-06,0,0.0,relmult,1.99509476342081e-09,1,4.402083873748779,0,1.0,1.0
bppc6-06,1,1.0,relmult,5.2368443301696365e-11,1,13.21723484992981,1,1.0,1.0
bppc6-06,1,5.0,relmult,4.083275336216462e-11,1,12.58919095993042,1,1.0,1.0
bppc6-06,1,10.0,relmult,1.0422809224424334e-11,1,13.09060788154602,1,1.0,1.0
bppc6-06,1,50.0,relmult,1.5180328978097668e-11,1,14.179520845413208,1,1.0,1.0
bppc6-06,1,1000.0,median,2.2718512399976055e-11,1,16.71089792251587,1,493.0302491307346,7584.122957650924
bppc6-06,1,1000.0,other,4.5807971522018716e-12,1,44.85949492454529,1,1.0,1.0
bppc6-06,1,1000.0,reldiv,4.5807971522018716e-12,1,42.920472145080566,1,1.0,1.0
bppc6-06,1,10000.0,median,1.1399372205424393e-10,1,14.810911893844604,1,493.0302491307346,75841.22957650924
bppc6-06,1,10000.0,reldiv,5.8176334068357815e-12,1,32.588675022125244,1,1.0,1.0
bppc6-06,1,100000.0,median,7.012407204519411e-11,1,16.875854015350342,1,493.0302491307346,758412.2957650924
bppc6-06,1,100000.0,reldiv,1.4342700657758958e-11,1,37.141676902770996,1,8.581171725547575,1.095357279759227
cmflsp50-24-8-8,0,0.0,reldiv,2.7259939256201587e-08,1,11.353004932403564,0,1.0,1.0
cmflsp50-24-8-8,0,0.0,relmult,2.7259939256201587e-08,1,11.255683898925781,0,1.0,1.0
cmflsp50-24-8-8,1,1.0,relmult,7.83983672840933e-12,1,25.673735857009888,1,1.0,1.0
cmflsp50-24-8-8,1,5.0,relmult,4.142947376359928e-11,1,27.547204971313477,1,25.0,25.0
cmflsp50-24-8-8,1,10.0,relmult,2.2435927620068756e-11,1,41.04167699813843,1,100.0,100.0
cmflsp50-24-8-8,1,50.0,relmult,9.958227769113862e-07,0,600.7727370262146,2,2500.0,2500.0
cmflsp50-24-8-8,1,1000.0,median,4.431731564281129e-09,1,94.70071506500244,1,1000000.0,143047.77670098084
cmflsp50-24-8-8,1,1000.0,other,1.4129903936684223e-10,1,101.97377705574036,1,4901.426947261598,2895221.743752365
cmflsp50-24-8-8,1,1000.0,reldiv,1.6701471473768818e-11,1,22.082003116607666,1,1.0,1.0
cmflsp50-24-8-8,1,10000.0,median,5.299354701690549e-09,1,201.66571402549744,1,100000000.0,1430477.7670098084
cmflsp50-24-8-8,1,10000.0,reldiv,2.520979598259872e-11,1,22.064481019973755,1,5.808694200898193,1.0
cmflsp50-24-8-8,1,100000.0,median,4.0279949338948364e-07,0,600.1913230419159,2,1652205670.9716992,14304777.670098085
cmflsp50-24-8-8,1,100000.0,reldiv,3.069125636776398e-11,1,31.236871004104614,1,58.08694200898193,1.9956720465892859
d20200,0,0.0,reldiv,8.242011986865695e-08,0,600.2101969718933,0,1.0,1.0
d20200,0,0.0,relmult,7.907252176300914e-08,0,600.2082660198212,0,1.0,1.0
d20200,1,1.0,relmult,2.8362235317131357e-08,0,600.2099301815033,2,1.0,1.0
d20200,1,5.0,relmult,1.7519079386986953e-07,0,600.1966931819916,2,25.0,25.0
d20200,1,10.0,relmult,1.495112362363028e-07,0,600.209655046463,2,100.0,100.0
