Instance,cuPDLP
2club200v15p5scn,1272
adult-max5features,51251
allcolor58,789
atlanta-ip,2
bab5,19315
cdc7-4-3-2,38
chromaticindex1024-7,174
chromaticindex512-7,175
circ10-3,291
cmflsp40-24-10-7,64251
cmflsp40-36-2-10,79064
cryptanalysiskb128n5obj16,1106
ds,36039
dws008-03,158
dws012-01,294
dws012-02,110
dws012-03,168
ex10,326
ex9,243
fast0507,45329
fhnw-binschedule2,13026
fhnw-schedule-paira200,3
fhnw-schedule-paira400,3
fhnw-schedule-pairb200,23
fhnw-schedule-pairb400,45
fiball,3896
genus-sym-g62-2,75
ger50-17-trans-dfn-3t,84202
graph20-80-1rand,304
graph40-20-1rand,377
graph40-40-1rand,583
graph40-80-1rand,720
graphdraw-opmanager,209
highschool1-aigio,970
ivu06,92944
ivu52,35155
kosova1,1818
n2seq36q,1567
neos-1171448,203
neos-1593097,2432
neos-2629914-sudost,19
neos-2978205-isar,554
neos-2991472-kalu,28
neos-3237086-abava,29
neos-3372571-onahau,26097
neos-3755335-nizao,324
neos-3759587-noosa,102
neos-4300652-rahue,816
neos-4322846-ryton,902
neos-4355351-swalm,959
neos-4359986-taipa,709
neos-4360552-sangro,850
neos-4408804-prosna,28206
neos-4409277-trave,300
neos-4555749-wards,66415
neos-4562542-watut,87534
neos-4647027-thurso,3299
neos-4647032-veleka,4559
neos-4724674-aorere,42644
neos-4976951-bunnoo,51124
neos-5049753-cuanza,563
neos-5052403-cygnet,29539
neos-5083528-gimone,55
neos-5104907-jarama,134835
neos-5106984-jizera,760
neos-5108386-kalang,112441
neos-5114902-kasavu,844
neos-5116085-kenana,622
neos-5118834-korana,53708
neos-5118851-kowhai,1421
neos-5129192-manaia,24733
neos-5138690-middle,112375
neos-5149806-wieprz,253
neos-5188808-nattai,940
neos-5193246-nerang,422
neos-5195221-niemur,481
neos-5196530-nuhaka,411
neos-5221106-oparau,134
neos-525149,400
neos-578379,648
neos-738098,3068
neos-787933,1968
neos-827175,28938
neos-872648,21274
neos-873061,19653
neos-885086,177
neos-885524,125
neos-913984,45
neos-932721,339
neos-933638,481
neos-933966,303
neos-948346,316
neos-950242,594
neos-956971,219
neos-957143,441
neos9,784
ns1111636,767
ns1116954,96
ns1430538,62846
ns1828997,105
ns1856153,26
ns1904248,24
nursesched-sprint02,1630
opm2-z10-s4,28361
opm2-z8-s0,13153
pb-grow22,31936
piperout-d27,82453
rail507,17050
rmine13,27154
s100,21511
s250r10,110127
s55,5230
satellites2-25,33737
satellites2-60-fs,32199
savsched1,1036
scpl4,22819
sct5,18789
seqsolve2short4288,1238
sorrell3,44
sorrell4,41
sorrell7,44
sp97ar,70426
sp97ic,34991
sp98ic,80766
square31,30781
stockholm,9692
supportcase10,43361
supportcase2,217
supportcase43,198
t1717,87404
tanglegram4,610
tpl-tub-ss16,51014
uccase12,62624
uccase7,29980
uccase9,25888
van,35146
vpphard,1454
z26,1006
