Instance;cuPDLP; a-indep,
2club200v15p5scn;5,690515041351318;5,690515041351318
30n20b8;600,000510931015;600,000510931015
academictimetablebig;14,183048009872437;14,183048009872437
academictimetablesmall;6,768835067749023;6,768835067749023
adult-max5features;491,55239605903625;491,55239605903625
adult-regularized;34,9835991859436;34,9835991859436
allcolor58;3,846682071685791;3,846682071685791
app1-2;600,0007979869843;600,0007979869843
atlanta-ip;155,01005601882935;155,01005601882935
bab2;600,002513885498;600,002513885498
bab3;600,0038220882416;600,0038220882416
bab5;249,90309119224548;249,90309119224548
bab6;600,0040378570557;600,0040378570557
blp-ar98;95,07366180419922;95,07366180419922
blp-ic97;186,18300604820251;186,18300604820251
blp-ic98;118,1336989402771;118,1336989402771
bppc6-02;65,65953803062439;65,65953803062439
bppc6-06;53,38889789581299;53,38889789581299
brazil3;59,34300518035889;59,34300518035889
cdc7-4-3-2;1,327744960784912;1,327744960784912
chromaticindex1024-7;1,9117100238800049;1,9117100238800049
chromaticindex512-7;2,3196401596069336;2,3196401596069336
ci-s4;600,0011188983917;600,0011188983917
circ10-3;4,950479984283447;4,950479984283447
cmflsp40-24-10-7;470,12617802619934;470,12617802619934
cmflsp40-36-2-10;538,7471950054169;538,7471950054169
cmflsp50-24-8-8;99,76893997192383;99,76893997192383
co-100;600,0023829936981;600,0023829936981
cryptanalysiskb128n5obj16;6,66023588180542;6,66023588180542
d20200;600,000571012497;600,000571012497
datt256;7,025116920471191;7,025116920471191
dc1l;85,86163997650146;85,86163997650146
ds;373,6828508377075;373,6828508377075
ds-big;600,0004489421844;600,0004489421844
dws008-03;2,161581039428711;2,161581039428711
dws012-01;2,611487865447998;2,611487865447998
dws012-02;1,775982141494751;1,775982141494751
dws012-03;2,0720369815826416;2,0720369815826416
eilC76-2;53,92148208618164;53,92148208618164
eva1aprime6x6opt;81,79520297050476;81,79520297050476
ex10;2,730126142501831;2,730126142501831
ex1010-pi;70,9837532043457;70,9837532043457
ex9;2,8430609703063965;2,8430609703063965
fast0507;322,58188104629517;322,58188104629517
fhnw-binschedule0;600,0017201900482;600,0017201900482
fhnw-binschedule1;600,003212928772;600,003212928772
fhnw-binschedule2;94,54935598373413;94,54935598373413
fhnw-schedule-paira200;2,4142580032348633;2,4142580032348633
fhnw-schedule-paira400;2,120326042175293;2,120326042175293
fhnw-schedule-pairb200;1,3993852138519287;1,3993852138519287
fhnw-schedule-pairb400;1,7903199195861816;1,7903199195861816
fiball;8,413840055465698;8,413840055465698
genus-sym-g62-2;1,5813238620758057;1,5813238620758057
ger50-17-trans-dfn-3t;600,0072240829468;600,0072240829468
ger50-17-trans-pop-3t;600,0010659694672;600,0010659694672
germanrr;600,0046219825745;600,0046219825745
gfd-schedulen180f7d50m30k18;44,43535494804382;44,43535494804382
glass4;0,8588290214538574;0,8588290214538574
gmut-76-40;600,0056250095367;600,0056250095367
gmut-76-50;600,0002501010895;600,0002501010895
graph20-80-1rand;3,0208899974823;3,0208899974823
graph40-20-1rand;2,6458308696746826;2,6458308696746826
graph40-40-1rand;4,661893129348755;4,661893129348755
graph40-80-1rand;9,521957159042358;9,521957159042358
