Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
adult-max5features;53661;405,6413748264313;1,3419724479779194e-07;0,0;9,99595208997894e-07;OPTIMAL
bab5;33518;252,8837718963623;9,999987259274203e-07;0,0;7,095538921399593e-07;OPTIMAL
cdc7-4-3-2;37;0,10196900367736816;1,20899642630512e-07;0,0;9,43203502991432e-07;OPTIMAL
chromaticindex1024-7;170;0,4832580089569092;5,664000539017879e-08;0,0;7,757177280329708e-07;OPTIMAL
chromaticindex512-7;161;0,44919800758361816;7,505127614937379e-07;0,0;1,932778346058833e-07;OPTIMAL
circ10-3;352;1,088474988937378;4,999662600557394e-07;0,0;9,483161325848406e-07;OPTIMAL
cmflsp40-24-10-7;28295;208,43989491462708;9,969337221041328e-07;0,0;5,206440454626445e-07;OPTIMAL
cmflsp40-36-2-10;28585;216,64890885353088;9,994642821206918e-07;0,0;7,01950690792606e-07;OPTIMAL
ds;51297;381,66847586631775;8,692154316314316e-07;0,0;9,9991447052121e-07;OPTIMAL
dws008-03;213;0,6387500762939453;2,9591213748197537e-09;1,2875949741456665e-16;6,410628974951111e-08;OPTIMAL
dws012-02;155;0,43997883796691895;2,52947028841114e-10;8,64723514911438e-11;8,714145094912288e-07;OPTIMAL
dws012-03;225;0,6888368129730225;4,25002490065444e-08;4,911845251165664e-13;8,141606313657032e-07;OPTIMAL
ex10;422;1,3256969451904297;9,376482252854146e-07;0,0;8,356476561066579e-07;OPTIMAL
ex9;336;1,0478551387786865;2,2290699908111833e-07;0,0;9,230061729592496e-07;OPTIMAL
fhnw-schedule-paira200;121;0,3414449691772461;2,748084089180657e-19;0,0;4,0132626179143815e-08;OPTIMAL
fhnw-schedule-paira400;191;0,5591669082641602;1,1046998669104289e-18;0,0;9,568902028386176e-07;OPTIMAL
fhnw-schedule-pairb200;251;0,776792049407959;5,329642138541869e-16;0,0;0,0;OPTIMAL
fhnw-schedule-pairb400;388;1,3145201206207275;6,217402752568564e-16;0,0;0,0;OPTIMAL
genus-sym-g62-2;136;0,3823380470275879;7,560946569951099e-07;0,0;1,8007205444668948e-07;OPTIMAL
ger50-17-trans-dfn-3t;56053;402,14151787757874;5,5510442050696175e-09;4,2384156855995923e-07;9,999410841922912e-07;OPTIMAL
graph20-80-1rand;311;0,958306074142456;8,713325863792439e-07;0,0;1,9635121411599435e-07;OPTIMAL
graph40-20-1rand;305;0,9569458961486816;3,590604267245112e-07;0,0;2,451628994243823e-07;OPTIMAL
graph40-40-1rand;399;1,1900439262390137;8,385493465157268e-07;0,0;8,187988827366483e-09;OPTIMAL
ivu52;27335;173,4319679737091;9,968471904833545e-07;0,0;9,134695975412773e-08;OPTIMAL
neos-1171448;324;0,9938838481903076;3,307141282263011e-08;8,925581418258993e-07;8,381605990227442e-09;OPTIMAL
neos-2629914-sudost;34;1,5803539752960205;8,28588567258759e-07;0,0;1,3711917058882077e-08;OPTIMAL
neos-2991472-kalu;148;0,4326760768890381;9,090844890544338e-09;0,0;2,271335690120686e-08;OPTIMAL
neos-3237086-abava;80;0,2275090217590332;2,948734073227834e-10;0,0;4,5692488687763326e-07;OPTIMAL
neos-3755335-nizao;430;1,2390038967132568;1,1698786174868862e-08;0,0;1,8184786288679437e-07;OPTIMAL
neos-3759587-noosa;189;0,5479638576507568;5,789712062252222e-08;0,0;8,688714387332556e-07;OPTIMAL
neos-4408804-prosna;30460;171,58757495880127;8,006698174558532e-07;1,736856974235291e-08;9,982439329763149e-07;OPTIMAL
neos-4562542-watut;78173;335,68506598472595;9,903967739421597e-07;2,0229512265177588e-12;3,353776165488298e-07;OPTIMAL
neos-4647027-thurso;27064;205,3471179008484;9,480402048681847e-07;2,5599271064654994e-10;3,7006603028291893e-07;OPTIMAL
neos-4647032-veleka;24308;185,72331404685974;8,13330799089626e-08;2,8298225460277537e-08;9,90492418607523e-07;OPTIMAL
neos-4724674-aorere;83593;513,1519739627838;1,7443411553218332e-08;3,130135263486255e-09;9,990049290218118e-07;OPTIMAL
neos-4976951-bunnoo;69993;331,8733880519867;5,858446629236121e-07;9,998451323994207e-07;8,849060171356821e-07;OPTIMAL
neos-5052403-cygnet;41370;123,43879985809326;9,997973974273933e-07;0,0;1,3727868700057013e-07;OPTIMAL
neos-5083528-gimone;244;0,7353589534759521;1,2950156312981796e-08;6,684848358476261e-14;7,750797604742234e-07;OPTIMAL
neos-5104907-jarama;106380;518,4661340713501;3,8247750314798334e-07;9,703620641383102e-07;6,040823938706588e-08;OPTIMAL
neos-5129192-manaia;34614;194,5075240135193;2,4058583908919734e-07;0,0;4,419692552399054e-07;OPTIMAL
neos-5149806-wieprz;242;0,7423110008239746;5,1900386491668815e-09;0,0;2,640672159259531e-07;OPTIMAL
neos-5193246-nerang;401;1,1185219287872314;7,783820448932962e-07;0,0;1,6152715385089392e-07;OPTIMAL
