Instance,cuPDLP
2club200v15p5scn,872
30n20b8,85228
a2864-99blp,1403
academictimetablebig,1476
academictimetablesmall,1354
adult-max5features,62476
adult-regularized,5983
allcolor58,225
app1-2,79436
atlanta-ip,41856
bab2,100586
bab3,113429
bab5,35917
bab6,107012
blp-ar98,22901
blp-ic97,18211
blp-ic98,20950
bppc6-02,11150
bppc6-06,6372
brazil3,10017
cdc7-4-3-2,38
chromaticindex1024-7,151
chromaticindex512-7,181
ci-s4,101952
circ10-3,382
cmflsp40-24-10-7,25809
cmflsp40-36-2-10,24216
cmflsp50-24-8-8,18926
co-100,65110
cryptanalysiskb128n5obj16,958
d20200,82001
datt256,1310
dc1l,10693
dlr1,17214
ds,36818
ds-big,147451
dws008-03,177
dws012-01,292
dws012-02,175
dws012-03,203
eilC76-2,8038
eva1aprime6x6opt,9441
ex10,338
ex1010-pi,22179
ex9,251
fast0507,33023
fhnw-binschedule0,91410
fhnw-binschedule1,88284
fhnw-binschedule2,10879
fhnw-schedule-paira200,157
fhnw-schedule-paira400,203
fhnw-schedule-pairb200,18
fhnw-schedule-pairb400,31
fiball,1750
genus-sym-g62-2,74
ger50-17-trans-dfn-3t,71187
ger50-17-trans-pop-3t,64817
germanrr,81133
gfd-schedulen180f7d50m30k18,8939
gmut-76-40,76368
gmut-76-50,79607
graph20-80-1rand,380
graph40-20-1rand,275
graph40-40-1rand,410
graph40-80-1rand,794
graphdraw-opmanager,427
hgms62,109539
highschool1-aigio,954
hypothyroid-k1,31877
iis-hc-cov,5470
in,1481
irish-electricity,90676
ivu06,124802
ivu06-big,87992
ivu52,47089
ivu59,77639
k1mushroom,4158
kosova1,988
kottenpark09,71427
lr1dr04vc05v17a-t360,95503
lr2-22dr3-333vc4v17a-t60,98956
map06,111982
map10,112105
map14860-20,85900
map16715-04,110201
map18,108414
momentum1,186677
mushroom-best,2249
mzzv11,81987
mzzv42z,82106
n2seq36q,1328
n3div36,2193
n3seq24,3643
neos-1122047,861
neos-1171448,218
neos-1354092,5572
neos-1367061,4549
neos-1593097,1801
neos-2629914-sudost,26
neos-2746589-doon,11712
neos-2978205-isar,550
neos-2991472-kalu,37
neos-3025225-shelon,902
neos-3208254-reiu,28277
neos-3209462-rhin,3825
neos-3229051-yass,9
neos-3230511-yuna,16
neos-3237086-abava,31
neos-3322547-alsek,3132
neos-3354841-apure,9080
neos-3372571-onahau,36911
neos-3402294-bobin,1652
neos-3740487-motru,49570
neos-3755335-nizao,5699
neos-3759587-noosa,448
neos-4292145-piako,11561
neos-4295773-pissa,961
neos-4300652-rahue,424
neos-4321076-ruwer,6441
neos-4322846-ryton,1219
neos-4332801-seret,2
neos-4332810-sesia,2
neos-4355351-swalm,1165
neos-4359986-taipa,569
neos-4360552-sangro,470
neos-4408804-prosna,41258
neos-4409277-trave,287
neos-4533806-waima,95535
neos-4535459-waipa,60248
neos-4545615-waita,115341
neos-4555749-wards,38800
neos-4562542-watut,87667
neos-4647027-thurso,18634
neos-4647030-tutaki,8732
neos-4647032-veleka,25704
neos-4722843-widden,27308
neos-4724674-aorere,75387
neos-4760493-puerua,2
neos-4763324-toguru,41122
neos-4797081-pakoka,79393
neos-4805882-barwon,80779
neos-4954274-beardy,9916
neos-4972437-bojana,21812
neos-4972461-bolong,31330
neos-4976951-bunnoo,73748
