Instance,cuPDLP
2club200v15p5scn,1051
30n20b8,85407
academictimetablebig,2741
academictimetablesmall,2084
adult-max5features,79822
adult-regularized,7667
atlanta-ip,18746
bab2,71501
bab3,115590
bab6,91774
blp-ar98,18341
blp-ic97,23661
brazil3,7428
cdc7-4-3-2,37
chromaticindex1024-7,170
chromaticindex512-7,161
ci-s4,102897
circ10-3,352
cmflsp40-24-10-7,40267
cmflsp40-36-2-10,52070
co-100,81810
cryptanalysiskb128n5obj16,5131
datt256,1086
dc1l,11461
dlr1,28218
ds,52808
ds-big,36973
dws012-01,415
dws012-02,155
dws012-03,225
eilC76-2,7821
ex10,422
ex1010-pi,26718
fast0507,56828
fhnw-binschedule0,118347
fhnw-binschedule1,1242
fhnw-binschedule2,14331
fhnw-schedule-paira200,121
fhnw-schedule-pairb200,251
fhnw-schedule-pairb400,388
fiball,4435
genus-sym-g62-2,136
gfd-schedulen180f7d50m30k18,8864
graph40-20-1rand,305
graph40-40-1rand,399
graph40-80-1rand,696
graphdraw-opmanager,427
hgms62,108847
highschool1-aigio,1687
hypothyroid-k1,9785
iis-hc-cov,5139
in,2343
ivu06,110607
ivu06-big,88347
ivu52,21853
ivu59,1839
k1mushroom,6956
kosova1,2514
kottenpark09,70879
lr1dr04vc05v17a-t360,86593
lr2-22dr3-333vc4v17a-t60,96861
momentum1,194487
mzzv11,81986
mzzv42z,81852
n3div36,5023
n3seq24,5775
neos-1171448,324
neos-1367061,3189
neos-1593097,2688
neos-2629914-sudost,34
neos-2746589-doon,12820
neos-2978205-isar,898
neos-2991472-kalu,148
neos-3025225-shelon,2057
neos-3208254-reiu,26133
neos-3209462-rhin,2418
neos-3229051-yass,9
neos-3230511-yuna,18
neos-3237086-abava,80
neos-3322547-alsek,2341
neos-3354841-apure,6459
neos-3372571-onahau,36510
neos-3402294-bobin,2202
neos-3740487-motru,755
neos-3759587-noosa,189
neos-4321076-ruwer,15845
neos-4322846-ryton,970
neos-4332801-seret,9078
neos-4332810-sesia,9080
neos-4355351-swalm,2539
neos-4359986-taipa,1540
neos-4360552-sangro,630
neos-4408804-prosna,28134
neos-4409277-trave,576
neos-4533806-waima,97376
neos-4535459-waipa,2480
neos-4545615-waita,167138
neos-4555749-wards,61386
neos-4562542-watut,97930
neos-4647027-thurso,6117
neos-4647030-tutaki,14310
neos-4647032-veleka,10857
neos-4722843-widden,43799
neos-4724674-aorere,52491
neos-4760493-puerua,90125
neos-4763324-toguru,90296
neos-4797081-pakoka,80203
neos-4805882-barwon,48261
neos-4954274-beardy,14238
neos-4972437-bojana,27167
neos-4972461-bolong,72383
neos-4976951-bunnoo,48461
neos-498623,6003
neos-5013590-toitoi,81658
neos-5041822-cockle,125159
neos-5049753-cuanza,611
neos-5052403-cygnet,33994
neos-5076235-embley,3109
neos-5079731-flyers,3300
neos-5083528-gimone,244
neos-5102383-irwell,4816
neos-5104907-jarama,122558
neos-5106984-jizera,2361
neos-5108386-kalang,119293
neos-5114902-kasavu,818
neos-5116085-kenana,936
neos-5118834-korana,94828
neos-5118851-kowhai,943
neos-5123665-limmat,115420
neos-5129192-manaia,38549
neos-5138690-middle,110347
neos-5188808-nattai,525
neos-5221106-oparau,209
neos-5223573-tarwin,4947
neos-5251015-ogosta,2095
neos-525149,499
neos-5273874-yomtsa,2743
neos-578379,1750
neos-662469,18984
neos-738098,2565
neos-787933,1027
neos-824661,22867
neos-826224,24060
neos-827175,38073
neos-848589,6450
neos-860300,34746
neos-872648,15199
neos-873061,14898
neos-885086,397
neos-885524,64
neos-913984,84
neos-932721,573
neos-950242,1789
neos6,5573
neos8,14781
neos9,712
ns1116954,797
ns1631475,78515
ns1644855,21290
ns1690781,77885
ns1760995,116550
ns1830653,4240
ns1856153,124
ns1904248,57
ns1905797,3662
ns1952667,1315
ns2122698,9938
ns2124243,3121
nsrand-ipx,3418
nucorsav,5002
nursesched-sprint-hidden09,9210
nursesched-sprint-late03,12918
nursesched-sprint02,2571
opm2-z10-s4,21486
opm2-z8-s0,20851
pb-fit2d,100215
physiciansched3-3,137644
piperout-d27,4623
radiationm40-10-02,109877
rail01,97917
rail507,24246
reblock420,3467
rmatr200-p10,7492
rmatr200-p5,5207
rmine11,78055
rmine21,97988
rmine25,32909
rocII-5-11,6254
roi5alpha10n8,11723
rwth-timetable,116325
s100,117167
s250r10,10006
s55,83316
satellites2-25,20430
satellites2-40,10643
satellites2-60-fs,10140
savsched1,609
scpk4,7797
scpl4,15763
scpm1,16673
scpn2,1024
sct1,149839
sct32,78243
sct5,16946
seqsolve1,5026
seqsolve2short4288,1706
seqsolve3short4288excess384,20845
shipsched,12055
shs1014,1041
shs1023,1494
shs1042,1016
sing17,73632
sing326,53023
sing44,81405
sing5,76945
snp-02-004-104,109644
sorrell3,39
sorrell4,46
sp97ar,79031
sp97ic,43679
sp98ar,82098
sp98ic,47970
splice1k1,7781
square31,64568
square37,79481
square41,14182
square47,1166
supportcase12,10746
supportcase19,105093
supportcase2,574
supportcase37,57689
supportcase39,12745
supportcase40,5346
supportcase41,4139
supportcase42,81389
supportcase43,349
supportcase7,96940
t11nonreg,1262
t1717,88224
t1722,22503
tanglegram4,524
tbfp-network,12844
thor50dday,11737
tpl-tub-ss16,79331
tpl-tub-ws1617,113171
uccase12,60688
uccase7,28322
uccase8,21882
uccase9,15243
unitcal_7,80377
usafa,4014
v150d30-2hopcds,4507
vpphard,2608
wnq-n100-mw99-14,7893
woodlands09,4203
z26,2979
zeil,90405
