Instance,cuPDLP
2club200v15p5scn,1051
academictimetablebig,2670
academictimetablesmall,2161
adult-max5features,78509
adult-regularized,6366
atlanta-ip,23445
bab5,14364
blp-ar98,31770
blp-ic97,34007
blp-ic98,12443
bppc6-02,7213
bppc6-06,7194
brazil3,9669
cmflsp40-24-10-7,52753
cmflsp40-36-2-10,68981
cmflsp50-24-8-8,13072
cryptanalysiskb128n5obj16,2354
datt256,1086
dc1l,12450
ds,42151
eilC76-2,8849
eva1aprime6x6opt,8581
ex1010-pi,23773
fast0507,69378
fhnw-binschedule2,19398
fiball,4616
ger50-17-trans-dfn-3t,30035
gfd-schedulen180f7d50m30k18,9120
highschool1-aigio,1683
hypothyroid-k1,9085
iis-hc-cov,5269
in,2734
ivu06,118395
ivu52,18514
k1mushroom,5163
kosova1,2453
map16715-04,4464
mushroom-best,3961
n2seq36q,1049
n3div36,3256
n3seq24,4181
neos-1122047,12347
neos-1354092,5962
neos-1367061,3420
neos-1593097,2445
neos-2746589-doon,9328
neos-3025225-shelon,2410
neos-3209462-rhin,2227
neos-3322547-alsek,8329
neos-3354841-apure,5339
neos-3372571-onahau,28921
neos-3402294-bobin,2202
neos-4292145-piako,4845
neos-4295773-pissa,2142
neos-4321076-ruwer,8456
neos-4355351-swalm,2356
neos-4359986-taipa,1728
neos-4408804-prosna,29846
neos-4555749-wards,58227
neos-4562542-watut,97109
neos-4647027-thurso,6245
neos-4647030-tutaki,11945
neos-4647032-veleka,11087
neos-4724674-aorere,76264
neos-4954274-beardy,14491
neos-4972437-bojana,27359
neos-4972461-bolong,93453
neos-4976951-bunnoo,49150
neos-498623,4710
neos-5052403-cygnet,31215
neos-5076235-embley,4264
neos-5079731-flyers,4838
neos-5102383-irwell,3598
neos-5104907-jarama,157108
neos-5106984-jizera,2077
neos-5108386-kalang,111412
neos-5118834-korana,105125
neos-5129192-manaia,31521
neos-5138690-middle,117370
neos-5223573-tarwin,4250
neos-5251015-ogosta,1460
neos-5266653-tugela,4758
neos-5273874-yomtsa,3016
neos-578379,1901
neos-662469,22322
neos-738098,2826
neos-780889,2227
neos-787933,1027
neos-826224,78118
neos-827175,27948
neos-848589,2863
neos-860300,18978
neos-872648,13812
neos-873061,14957
neos-941313,4005
neos-948346,1412
neos-950242,1537
neos-953928,1816
neos-957323,5337
neos-960392,1741
neos6,4973
neos8,13363
ns1430538,49562
ns1456591,56430
ns1644855,16226
ns1830653,7785
ns1905797,4319
ns1952667,1076
ns2122698,12171
ns2124243,3570
nsrand-ipx,5124
nucorsav,5720
nursesched-sprint-hidden09,6941
nursesched-sprint-late03,13182
nursesched-sprint02,2854
opm2-z10-s4,26891
opm2-z8-s0,21939
pb-grow22,59100
piperout-d27,42489
rail507,27333
reblock420,2048
rmatr200-p10,15165
rmatr200-p5,4304
rmine13,60377
rocII-5-11,4590
rocII-8-11,5596
roi5alpha10n8,15483
s100,112953
s250r10,9992
s55,92170
satellites2-25,18785
satellites2-40,15022
satellites2-60-fs,20631
scpk4,8038
scpl4,22629
scpm1,15773
scpn2,1024
sct5,16761
seqsolve1,9817
seqsolve2short4288,1693
seqsolve3short4288excess384,16514
shipsched,18315
snip10x10-35r1budget17,1958
sp97ar,58535
sp97ic,36336
sp98ic,49078
splice1k1,7329
square31,51307
stockholm,80398
supportcase10,35097
supportcase12,18993
supportcase23,2336
supportcase39,10572
supportcase40,5197
supportcase41,5136
t1717,29249
t1722,17228
tbfp-network,11088
thor50dday,9529
tpl-tub-ss16,75355
uccase12,63513
uccase7,34769
uccase8,21351
uccase9,13188
usafa,3589
v150d30-2hopcds,4301
van,44739
vpphard,2446
wnq-n100-mw99-14,9866
woodlands09,4001
z26,3382
