Instance,cuPDLP
2club200v15p5scn,852
academictimetablebig,2711
academictimetablesmall,1381
adult-max5features,43485
adult-regularized,3956
allcolor58,1067
atlanta-ip,2
bab5,14248
blp-ar98,19606
blp-ic97,16476
blp-ic98,16958
bppc6-02,10974
bppc6-06,12867
brazil3,7255
cdc7-4-3-2,39
chromaticindex1024-7,172
chromaticindex512-7,153
circ10-3,365
cmflsp40-24-10-7,50729
cmflsp40-36-2-10,29408
cmflsp50-24-8-8,16215
cryptanalysiskb128n5obj16,1220
datt256,1562
dc1l,9081
ds,43592
dws008-03,270
dws012-01,337
dws012-02,96
dws012-03,189
eilC76-2,6414
eva1aprime6x6opt,13787
ex10,487
ex1010-pi,21154
ex9,229
fast0507,46251
fhnw-binschedule2,39950
fhnw-schedule-paira200,5
fhnw-schedule-paira400,5
fhnw-schedule-pairb200,8
fhnw-schedule-pairb400,7
fiball,1381
genus-sym-g62-2,57
ger50-17-trans-dfn-3t,71460
gfd-schedulen180f7d50m30k18,7243
graph20-80-1rand,432
graph40-20-1rand,334
graph40-40-1rand,673
graph40-80-1rand,747
graphdraw-opmanager,231
highschool1-aigio,1053
hypothyroid-k1,22051
iis-hc-cov,5788
in,1706
ivu06,105423
ivu52,58175
k1mushroom,7556
kosova1,1678
map16715-04,2
mushroom-best,3187
n2seq36q,1497
n3div36,1439
n3seq24,2284
neos-1122047,1058
neos-1171448,255
neos-1354092,3812
neos-1367061,5271
neos-1593097,2163
neos-2629914-sudost,19
neos-2746589-doon,7461
neos-2978205-isar,715
neos-2991472-kalu,24
neos-3025225-shelon,593
neos-3209462-rhin,1748
neos-3229051-yass,9
neos-3230511-yuna,9
neos-3237086-abava,25
neos-3322547-alsek,2666
neos-3354841-apure,16873
neos-3372571-onahau,22937
neos-3402294-bobin,2036
neos-3740487-motru,3751
neos-3755335-nizao,444
neos-3759587-noosa,92
neos-4292145-piako,87407
neos-4295773-pissa,1446
neos-4300652-rahue,703
neos-4321076-ruwer,7636
neos-4322846-ryton,522
neos-4355351-swalm,1219
neos-4359986-taipa,569
neos-4360552-sangro,393
neos-4408804-prosna,74177
neos-4409277-trave,296
neos-4555749-wards,42290
neos-4562542-watut,111063
neos-4647027-thurso,2842
neos-4647030-tutaki,3065
neos-4647032-veleka,4357
neos-4724674-aorere,57142
neos-4954274-beardy,8804
neos-4972437-bojana,44396
neos-4972461-bolong,27717
neos-4976951-bunnoo,48490
neos-498623,2904
neos-5049753-cuanza,492
neos-5052403-cygnet,40286
neos-5076235-embley,2654
neos-5079731-flyers,1890
neos-5083528-gimone,65
neos-5102383-irwell,1771
neos-5104907-jarama,145946
neos-5106984-jizera,821
neos-5108386-kalang,78346
neos-5114902-kasavu,761
neos-5116085-kenana,900
neos-5118834-korana,50451
neos-5118851-kowhai,1065
neos-5129192-manaia,4114
neos-5138690-middle,122179
neos-5149806-wieprz,265
neos-5188808-nattai,576
neos-5193246-nerang,407
neos-5195221-niemur,473
neos-5196530-nuhaka,544
neos-5221106-oparau,202
neos-5223573-tarwin,1258
neos-5251015-ogosta,2646
neos-525149,365
neos-5266653-tugela,1753
neos-5273874-yomtsa,3368
neos-578379,1176
neos-662469,19339
neos-738098,1859
neos-780889,1723
neos-787933,2380
neos-826224,78568
neos-827175,54101
neos-848589,3434
neos-860300,13902
neos-872648,19977
neos-873061,18560
neos-885086,421
neos-885524,100
neos-913984,52
neos-932721,371
neos-933638,534
neos-933966,276
neos-941313,10705
neos-948346,278
neos-950242,697
neos-953928,858
neos-956971,241
neos-957143,598
neos-957323,5461
neos-960392,965
neos6,4307
neos8,13198
neos9,927
ns1111636,554
ns1116954,162
ns1430538,80591
ns1456591,6150
ns1644855,5690
ns1828997,96
ns1830653,4187
ns1856153,48
ns1904248,24
ns1905797,5930
ns1952667,3269
ns2122698,10772
ns2124243,1753
ns930473,1128
nsrand-ipx,3333
nucorsav,1121
nursesched-sprint-hidden09,8126
nursesched-sprint-late03,12343
nursesched-sprint02,1374
opm2-z10-s4,31903
opm2-z8-s0,15662
pb-grow22,94178
piperout-d27,60840
rail507,19630
reblock420,3817
rmatr200-p10,15247
rmatr200-p5,15218
rmine13,50859
rocII-5-11,4734
rocII-8-11,4546
roi5alpha10n8,7048
s100,111322
s250r10,117952
s55,6822
satellites2-25,40221
satellites2-40,34783
satellites2-60-fs,35800
savsched1,627
scpk4,9340
scpl4,12532
scpm1,14524
scpn2,15290
sct5,70312
seqsolve1,4852
seqsolve2short4288,989
seqsolve3short4288excess384,27966
shipsched,12241
snip10x10-35r1budget17,672
sorrell3,44
sorrell4,46
sorrell7,43
sp97ar,57437
sp97ic,43112
sp98ic,75778
splice1k1,8316
square31,36210
stockholm,8244
supportcase10,36892
supportcase12,8506
supportcase2,339
supportcase23,1463
supportcase39,4325
supportcase40,4803
supportcase41,7622
supportcase43,184
t1717,59394
t1722,27352
tanglegram4,373
tbfp-network,13592
thor50dday,8060
tpl-tub-ss16,49862
uccase12,76093
uccase7,178852
uccase8,17712
uccase9,29293
usafa,2731
v150d30-2hopcds,5837
van,42713
vpphard,1863
wnq-n100-mw99-14,8571
woodlands09,3058
z26,1223
