Instance,cuPDLP
2club200v15p5scn,1051
academictimetablebig,2205
academictimetablesmall,1619
adult-max5features,27239
adult-regularized,10695
allcolor58,663
atlanta-ip,15619
bab5,18368
blp-ar98,39655
blp-ic97,40069
blp-ic98,37577
bppc6-02,20479
bppc6-06,11814
brazil3,11282
cdc7-4-3-2,37
chromaticindex1024-7,170
chromaticindex512-7,161
circ10-3,352
cmflsp40-24-10-7,23376
cmflsp40-36-2-10,20073
cmflsp50-24-8-8,15884
cryptanalysiskb128n5obj16,1356
datt256,1371
dc1l,6389
ds,45218
dws008-03,213
dws012-01,415
dws012-02,155
dws012-03,225
eilC76-2,13065
eva1aprime6x6opt,17103
ex10,422
ex1010-pi,29549
ex9,336
fast0507,5104
fhnw-binschedule2,29801
fhnw-schedule-paira200,121
fhnw-schedule-paira400,191
fhnw-schedule-pairb200,251
fhnw-schedule-pairb400,388
fiball,3110
genus-sym-g62-2,136
ger50-17-trans-dfn-3t,22001
gfd-schedulen180f7d50m30k18,5132
graph20-80-1rand,311
graph40-20-1rand,305
graph40-40-1rand,399
graph40-80-1rand,696
graphdraw-opmanager,427
highschool1-aigio,1026
hypothyroid-k1,17037
iis-hc-cov,4740
in,3409
ivu06,83460
ivu52,7729
k1mushroom,2541
kosova1,1497
map16715-04,6584
mushroom-best,5833
n2seq36q,1049
n3div36,1729
n3seq24,3170
neos-1122047,8585
neos-1171448,324
neos-1354092,16861
neos-1367061,3424
neos-1593097,1362
neos-2629914-sudost,34
neos-2746589-doon,6443
neos-2978205-isar,898
neos-2991472-kalu,148
neos-3025225-shelon,6397
neos-3209462-rhin,2117
neos-3237086-abava,80
neos-3322547-alsek,22449
neos-3354841-apure,18756
neos-3372571-onahau,29582
neos-3402294-bobin,2236
neos-3740487-motru,755
neos-3755335-nizao,430
neos-3759587-noosa,189
neos-4292145-piako,24816
neos-4295773-pissa,1639
neos-4300652-rahue,841
neos-4321076-ruwer,13335
neos-4322846-ryton,970
neos-4355351-swalm,1235
neos-4359986-taipa,1260
neos-4360552-sangro,630
neos-4408804-prosna,46257
neos-4409277-trave,576
neos-4555749-wards,69570
neos-4562542-watut,138778
neos-4647027-thurso,13287
neos-4647030-tutaki,13472
neos-4647032-veleka,11096
neos-4724674-aorere,60207
neos-4954274-beardy,17620
neos-4972437-bojana,49959
neos-4972461-bolong,86159
neos-4976951-bunnoo,40333
neos-498623,13767
neos-5049753-cuanza,611
neos-5052403-cygnet,34849
neos-5076235-embley,2059
neos-5079731-flyers,1790
neos-5083528-gimone,244
neos-5102383-irwell,2508
neos-5104907-jarama,5478
neos-5106984-jizera,1228
neos-5108386-kalang,96074
neos-5114902-kasavu,818
neos-5116085-kenana,936
neos-5118834-korana,103367
neos-5118851-kowhai,943
neos-5129192-manaia,9115
neos-5138690-middle,75535
neos-5149806-wieprz,242
neos-5188808-nattai,525
neos-5193246-nerang,401
neos-5195221-niemur,369
neos-5196530-nuhaka,427
neos-5221106-oparau,209
neos-5223573-tarwin,4519
neos-5251015-ogosta,4680
neos-525149,499
neos-5266653-tugela,4034
neos-5273874-yomtsa,5020
neos-578379,1968
neos-662469,29108
neos-738098,3061
neos-780889,2522
neos-787933,1027
neos-826224,72966
neos-827175,26957
neos-848589,2852
neos-860300,25860
neos-872648,6309
neos-873061,20591
neos-885086,397
neos-885524,64
neos-913984,84
neos-932721,573
neos-933638,638
neos-933966,421
neos-941313,7007
neos-948346,1270
neos-950242,1352
neos-953928,1816
neos-956971,423
neos-957143,834
neos-957323,13238
neos-960392,3925
neos6,11578
neos8,19350
neos9,712
ns1111636,730
ns1116954,778
ns1430538,75160
ns1456591,28400
ns1644855,11645
ns1828997,192
ns1830653,11378
ns1856153,124
ns1904248,57
ns1905797,5166
ns1952667,1826
ns2122698,30221
ns2124243,4183
ns930473,2085
nsrand-ipx,3484
nucorsav,7158
nursesched-sprint-hidden09,15539
nursesched-sprint-late03,16702
nursesched-sprint02,1660
opm2-z10-s4,22980
opm2-z8-s0,15901
pb-grow22,9172
piperout-d27,18624
rail507,5056
reblock420,3807
rmatr200-p10,15902
rmatr200-p5,12500
rmine13,50784
rocII-5-11,14038
rocII-8-11,14206
roi5alpha10n8,3949
s100,6339
s250r10,66148
s55,28290
satellites2-25,11039
satellites2-40,17783
satellites2-60-fs,15839
savsched1,609
scpk4,17547
scpl4,7778
scpm1,7658
scpn2,5084
sct5,22171
seqsolve1,12115
seqsolve2short4288,1369
seqsolve3short4288excess384,35874
shipsched,18370
snip10x10-35r1budget17,1827
sorrell3,39
sorrell4,46
sorrell7,41
sp97ar,9239
sp97ic,22900
sp98ic,19385
splice1k1,10377
square31,78112
stockholm,20664
supportcase10,37584
supportcase12,38899
supportcase2,574
supportcase23,2312
supportcase39,11551
supportcase40,3644
supportcase41,3696
supportcase43,349
t1717,58241
t1722,20865
tanglegram4,524
tbfp-network,26144
thor50dday,18008
tpl-tub-ss16,60965
uccase12,58897
uccase7,34230
uccase8,24178
uccase9,7630
usafa,8973
v150d30-2hopcds,4205
van,17907
vpphard,1516
wnq-n100-mw99-14,14021
woodlands09,2663
z26,1394
