Instance,cuPDLP
2club200v15p5scn,1051
academictimetablebig,2205
academictimetablesmall,1619
adult-max5features,76475
adult-regularized,16873
allcolor58,663
atlanta-ip,22636
bab5,18736
blp-ar98,27203
blp-ic97,35192
blp-ic98,26484
bppc6-02,34219
bppc6-06,11798
brazil3,14745
cdc7-4-3-2,37
chromaticindex1024-7,170
chromaticindex512-7,161
circ10-3,352
cmflsp40-24-10-7,57652
cmflsp40-36-2-10,27693
cmflsp50-24-8-8,17565
cryptanalysiskb128n5obj16,1356
datt256,1371
dc1l,6389
ds,55267
dws008-03,213
dws012-01,415
dws012-02,155
dws012-03,225
eilC76-2,13532
eva1aprime6x6opt,17211
ex10,422
ex1010-pi,5546
ex9,336
fast0507,5104
fhnw-binschedule2,23048
fhnw-schedule-paira200,121
fhnw-schedule-paira400,191
fhnw-schedule-pairb200,251
fhnw-schedule-pairb400,388
fiball,3110
genus-sym-g62-2,136
ger50-17-trans-dfn-3t,11265
gfd-schedulen180f7d50m30k18,5132
graph20-80-1rand,311
graph40-20-1rand,305
graph40-40-1rand,399
graph40-80-1rand,696
graphdraw-opmanager,427
highschool1-aigio,1026
hypothyroid-k1,15065
iis-hc-cov,4740
in,3409
ivu06,75624
ivu52,35672
k1mushroom,2541
kosova1,1497
map16715-04,6584
mushroom-best,6027
n2seq36q,1049
n3div36,1729
n3seq24,3170
neos-1122047,8552
neos-1171448,324
neos-1354092,16277
neos-1367061,3424
neos-1593097,1362
neos-2629914-sudost,34
neos-2746589-doon,6443
neos-2978205-isar,898
neos-2991472-kalu,148
neos-3025225-shelon,6397
neos-3209462-rhin,2117
neos-3237086-abava,80
neos-3322547-alsek,18839
neos-3354841-apure,24014
neos-3372571-onahau,28469
neos-3402294-bobin,2236
neos-3740487-motru,755
neos-3755335-nizao,430
neos-3759587-noosa,189
neos-4292145-piako,7865
neos-4295773-pissa,1639
neos-4300652-rahue,841
neos-4321076-ruwer,15495
neos-4322846-ryton,970
neos-4355351-swalm,1235
neos-4359986-taipa,1260
neos-4360552-sangro,630
neos-4408804-prosna,48345
neos-4409277-trave,576
neos-4555749-wards,74875
neos-4562542-watut,90487
neos-4647027-thurso,13522
neos-4647030-tutaki,14890
neos-4647032-veleka,12143
neos-4724674-aorere,29340
neos-4954274-beardy,15165
neos-4972437-bojana,45007
neos-4972461-bolong,86288
neos-4976951-bunnoo,32032
neos-498623,14219
neos-5049753-cuanza,611
neos-5052403-cygnet,34216
neos-5076235-embley,2059
neos-5079731-flyers,1790
neos-5083528-gimone,244
neos-5102383-irwell,2508
neos-5104907-jarama,38778
neos-5106984-jizera,1228
neos-5108386-kalang,87498
neos-5114902-kasavu,818
neos-5116085-kenana,936
neos-5118834-korana,50623
neos-5118851-kowhai,943
neos-5129192-manaia,8773
neos-5138690-middle,63943
neos-5149806-wieprz,242
neos-5188808-nattai,525
neos-5193246-nerang,401
neos-5195221-niemur,369
neos-5196530-nuhaka,427
neos-5221106-oparau,209
neos-5223573-tarwin,4519
neos-5251015-ogosta,4680
neos-525149,499
neos-5266653-tugela,4034
neos-5273874-yomtsa,5020
neos-578379,1968
neos-662469,34506
neos-738098,3061
neos-780889,2522
neos-787933,1027
neos-826224,71124
neos-827175,19545
neos-848589,2852
neos-860300,27004
neos-872648,30144
neos-873061,26042
neos-885086,397
neos-885524,64
neos-913984,84
neos-932721,573
neos-933638,638
neos-933966,421
neos-941313,7125
neos-948346,1270
neos-950242,1352
neos-953928,1816
neos-956971,423
neos-957143,834
neos-957323,12914
neos-960392,3925
neos6,17311
neos8,21536
neos9,712
ns1111636,730
ns1116954,778
ns1430538,43954
ns1456591,43388
ns1644855,10319
ns1828997,192
ns1830653,11389
ns1856153,124
ns1904248,57
ns1905797,5166
ns1952667,1826
ns2122698,15057
ns2124243,4183
ns930473,2085
nsrand-ipx,3484
nucorsav,10052
nursesched-sprint-hidden09,20644
nursesched-sprint-late03,16225
nursesched-sprint02,1660
opm2-z10-s4,32893
opm2-z8-s0,21924
pb-grow22,9172
piperout-d27,22005
rail507,13883
reblock420,3807
rmatr200-p10,12904
rmatr200-p5,12018
rmine13,41397
rocII-5-11,11227
rocII-8-11,13051
roi5alpha10n8,3949
s100,6339
s250r10,47421
s55,27026
satellites2-25,9730
satellites2-40,15970
satellites2-60-fs,15389
savsched1,609
scpk4,7403
scpl4,7778
scpm1,7658
scpn2,5084
sct5,45117
seqsolve1,10732
seqsolve2short4288,1369
seqsolve3short4288excess384,16891
shipsched,32668
snip10x10-35r1budget17,1827
sorrell3,39
sorrell4,46
sorrell7,41
sp97ar,9239
sp97ic,6409
sp98ic,16898
splice1k1,10597
square31,90454
stockholm,20664
supportcase10,45517
supportcase12,21747
supportcase2,574
supportcase23,2312
supportcase39,10678
supportcase40,3644
supportcase41,3696
supportcase43,349
t1717,48420
t1722,30236
tanglegram4,524
tbfp-network,19244
thor50dday,19812
tpl-tub-ss16,72268
uccase12,67633
uccase7,32348
uccase8,25066
uccase9,7630
usafa,8973
v150d30-2hopcds,4205
van,17874
vpphard,1516
wnq-n100-mw99-14,10162
woodlands09,2663
z26,1394
