Instance,cuPDLP
2club200v15p5scn,1018
30n20b8,90410
academictimetablebig,2365
academictimetablesmall,1003
adult-max5features,65276
adult-regularized,4894
allcolor58,297
app1-2,80671
atlanta-ip,1512
bab2,93434
bab3,110786
bab5,33870
bab6,97706
blp-ar98,26121
blp-ic97,22894
blp-ic98,16408
bppc6-02,8718
bppc6-06,7820
brazil3,8330
cdc7-4-3-2,42
chromaticindex1024-7,174
chromaticindex512-7,175
ci-s4,102509
circ10-3,477
cmflsp40-24-10-7,64083
cmflsp40-36-2-10,73585
cmflsp50-24-8-8,13460
co-100,78899
cryptanalysiskb128n5obj16,956
d20200,81886
datt256,1113
dc1l,11721
ds,52428
ds-big,186923
dws008-03,172
dws012-01,278
dws012-02,149
dws012-03,203
eilC76-2,8033
eva1aprime6x6opt,10978
ex10,326
ex1010-pi,22579
ex9,243
fast0507,46245
fhnw-binschedule0,96370
fhnw-binschedule1,89814
fhnw-binschedule2,12526
fhnw-schedule-paira200,112
fhnw-schedule-paira400,114
fhnw-schedule-pairb200,19
fhnw-schedule-pairb400,33
fiball,2589
genus-sym-g62-2,91
ger50-17-trans-dfn-3t,85332
ger50-17-trans-pop-3t,85259
germanrr,79368
gfd-schedulen180f7d50m30k18,8193
glass4,172
gmut-76-40,81993
gmut-76-50,81133
graph20-80-1rand,325
graph40-20-1rand,219
graph40-40-1rand,398
graph40-80-1rand,786
graphdraw-opmanager,427
hgms62,106433
highschool1-aigio,924
hypothyroid-k1,32573
iis-hc-cov,7875
in,1403
irish-electricity,93605
ivu06,80065
ivu52,40130
k1mushroom,2117
kosova1,1849
kottenpark09,70191
lr1dr04vc05v17a-t360,76651
lr2-22dr3-333vc4v17a-t60,102039
map06,112845
map10,112065
map14860-20,117853
map16715-04,113062
map18,110560
momentum1,194035
mushroom-best,2872
mzzv11,82041
mzzv42z,81707
n2seq36q,857
n3div36,1496
n3seq24,3742
neos-1122047,902
neos-1171448,269
neos-1354092,6508
neos-1367061,4359
neos-1593097,2417
neos-2629914-sudost,22
neos-2746589-doon,4998
neos-2978205-isar,616
neos-2991472-kalu,37
neos-3025225-shelon,7236
neos-3209462-rhin,11120
neos-3237086-abava,30
neos-3322547-alsek,5721
neos-3354841-apure,9318
neos-3372571-onahau,31112
neos-3402294-bobin,1720
neos-3755335-nizao,2378
neos-3759587-noosa,1864
neos-4292145-piako,53075
neos-4295773-pissa,938
neos-4300652-rahue,377
neos-4321076-ruwer,24187
neos-4322846-ryton,1116
neos-4355351-swalm,930
neos-4359986-taipa,716
neos-4360552-sangro,636
neos-4408804-prosna,36865
neos-4409277-trave,384
neos-4533806-waima,87453
neos-4545615-waita,160920
neos-4555749-wards,23944
neos-4562542-watut,66589
neos-4647027-thurso,14124
neos-4647030-tutaki,18217
neos-4647032-veleka,26846
neos-4722843-widden,55310
neos-4724674-aorere,54472
neos-4760493-puerua,2
neos-4763324-toguru,2
neos-4797081-pakoka,80999
neos-4805882-barwon,77442
neos-4954274-beardy,11014
neos-4972437-bojana,26226
neos-4972461-bolong,51206
neos-4976951-bunnoo,68875
neos-498623,5452
neos-5013590-toitoi,67398
neos-5041822-cockle,120244
neos-5049753-cuanza,516
neos-5052403-cygnet,32859
neos-5076235-embley,2949
neos-5079731-flyers,2048
neos-5083528-gimone,57
neos-5102383-irwell,1623
neos-5104907-jarama,142736
neos-5106984-jizera,879
neos-5108386-kalang,54522
neos-5114902-kasavu,566
neos-5116085-kenana,727
neos-5118834-korana,50238
neos-5118851-kowhai,826
neos-5123665-limmat,113522
neos-5129192-manaia,20712
neos-5138690-middle,117704
neos-5149806-wieprz,291
neos-5188808-nattai,392
neos-5193246-nerang,220
neos-5195221-niemur,247
neos-5196530-nuhaka,214
neos-5221106-oparau,183
neos-5223573-tarwin,2667
neos-5251015-ogosta,1601
neos-525149,468
neos-5266653-tugela,2308
neos-5273874-yomtsa,3101
neos-578379,998
neos-662469,19607
neos-738098,4970
neos-780889,2135
neos-787933,2620
neos-824661,46913
neos-826224,80485
neos-827175,83776
neos-848589,2950
neos-860300,30125
neos-872648,17066
neos-873061,15767
neos-885086,414
neos-885524,53
neos-913984,43
neos-932721,385
neos-933638,619
neos-933966,328
neos-941313,9114
neos-948346,523
neos-950242,718
neos-953928,752
neos-956971,244
neos-957143,548
neos-957323,5949
neos-960392,7210
neos6,3017
neos8,11323
neos9,785
ns1111636,958
ns1116954,179
ns1430538,67846
ns1456591,7751
ns1631475,81620
ns1644855,43868
ns1690781,81119
ns1760995,113775
ns1828997,127
ns1830653,5584
ns1856153,55
ns1904248,30
ns1905797,5132
ns1952667,2946
ns2122698,9503
ns2124243,2
ns930473,1238
nsrand-ipx,3343
nursesched-sprint-hidden09,7861
nursesched-sprint-late03,10910
nursesched-sprint02,1782
opm2-z10-s4,28363
opm2-z8-s0,24664
pb-fit2d,90161
pb-grow22,81359
physiciansched3-3,2
physiciansched5-3,81180
physiciansched6-1,106708
physiciansched6-2,2
piperout-d20,81616
piperout-d27,80581
proteindesign121pgb11p9,2
proteindesign122trx11p8,21938
radiationm40-10-02,2
rail01,95619
rail507,19908
reblock420,1805
rmatr200-p10,16598
rmatr200-p5,8433
rmine11,59332
rmine13,85534
rmine21,113499
rmine25,89673
rocII-5-11,4448
rocII-8-11,4228
roi5alpha10n8,4020
rwth-timetable,108015
s100,112710
s250r10,106194
s55,9823
satellites2-25,45617
satellites2-40,18694
satellites2-60-fs,31022
savsched1,617
scpk4,9398
scpl4,16638
scpm1,16981
scpn2,18892
sct1,142907
sct32,89604
sct5,23360
seqsolve1,9478
seqsolve2short4288,1439
seqsolve3short4288excess384,24143
shipsched,14095
shs1014,2
shs1023,35679
shs1042,127943
sing11,104463
sing17,143451
sing326,83586
sing44,85211
sing5,102831
snip10x10-35r1budget17,443
snp-02-004-104,114072
sorrell3,50
sorrell4,44
sorrell7,44
sp97ar,67563
sp97ic,80483
sp98ar,82017
sp98ic,47445
splice1k1,3521
square31,66851
square37,76818
square41,120556
stockholm,54494
supportcase10,58015
supportcase12,26349
supportcase19,102627
supportcase2,192
supportcase23,2312
supportcase37,81351
supportcase39,7490
supportcase40,2217
supportcase41,6743
supportcase42,81250
supportcase43,230
supportcase7,92026
t1717,52811
t1722,15439
tanglegram4,485
tbfp-network,11923
thor50dday,9374
tpl-tub-ss16,64252
tpl-tub-ws1617,114298
triptim1,81866
triptim2,75073
triptim4,59569
triptim7,81812
triptim8,81569
uccase12,61095
uccase7,19350
uccase8,44675
uccase9,24732
unitcal_7,81242
usafa,11941
v150d30-2hopcds,4532
van,63232
vpphard,1498
wnq-n100-mw99-14,12928
woodlands09,3558
z26,1594
zeil,86225
