Instance,cuPDLP
2club200v15p5scn,1051
academictimetablebig,2486
academictimetablesmall,2185
adult-max5features,52397
adult-regularized,3229
atlanta-ip,17817
bab5,12244
blp-ar98,42766
blp-ic97,20365
blp-ic98,18805
bppc6-02,31546
bppc6-06,20129
brazil3,22286
cmflsp40-24-10-7,40766
cmflsp40-36-2-10,19783
cmflsp50-24-8-8,13129
cryptanalysiskb128n5obj16,3229
datt256,5388
dc1l,12491
ds,70359
eilC76-2,7730
eva1aprime6x6opt,23221
ex1010-pi,21562
fast0507,44313
fhnw-binschedule2,7725
fiball,3676
ger50-17-trans-dfn-3t,7000
gfd-schedulen180f7d50m30k18,8378
highschool1-aigio,1802
hypothyroid-k1,14425
iis-hc-cov,4600
in,2339
ivu06,75674
ivu52,21574
k1mushroom,4468
kosova1,2402
map16715-04,4464
mushroom-best,3907
n2seq36q,1049
n3div36,2811
n3seq24,5476
neos-1122047,3671
neos-1354092,6189
neos-1367061,3138
neos-1593097,2989
neos-2746589-doon,14356
neos-3025225-shelon,7903
neos-3209462-rhin,3288
neos-3322547-alsek,3288
neos-3354841-apure,4994
neos-3372571-onahau,21348
neos-3402294-bobin,2732
neos-4292145-piako,82436
neos-4295773-pissa,1968
neos-4321076-ruwer,15980
neos-4355351-swalm,2838
neos-4359986-taipa,1837
neos-4408804-prosna,24194
neos-4555749-wards,69206
neos-4562542-watut,97535
neos-4647027-thurso,6907
neos-4647030-tutaki,13088
neos-4647032-veleka,5279
neos-4724674-aorere,114624
neos-4954274-beardy,13204
neos-4972437-bojana,13830
neos-4972461-bolong,110601
neos-4976951-bunnoo,26118
neos-498623,5730
neos-5052403-cygnet,49572
neos-5076235-embley,3718
neos-5079731-flyers,2641
neos-5102383-irwell,3281
neos-5104907-jarama,189947
neos-5106984-jizera,1744
neos-5108386-kalang,50599
neos-5118834-korana,117406
neos-5129192-manaia,26933
neos-5138690-middle,116614
neos-5223573-tarwin,7473
neos-5251015-ogosta,4585
neos-5266653-tugela,5940
neos-5273874-yomtsa,3485
neos-578379,1951
neos-662469,15980
neos-738098,3217
neos-780889,2427
neos-787933,1027
neos-826224,79749
neos-827175,79023
neos-848589,8547
neos-860300,17252
neos-872648,13905
neos-873061,18141
neos-941313,6145
neos-948346,1334
neos-950242,1845
neos-953928,1816
neos-957323,10204
neos-960392,1757
neos6,4237
neos8,11013
ns1430538,56393
ns1456591,53824
ns1644855,16114
ns1830653,5171
ns1905797,5336
ns1952667,1077
ns2122698,10140
ns2124243,3212
nsrand-ipx,4221
nucorsav,11683
nursesched-sprint-hidden09,6533
nursesched-sprint-late03,12460
nursesched-sprint02,2528
opm2-z10-s4,58362
opm2-z8-s0,16353
pb-grow22,20191
piperout-d27,60095
rail507,26612
reblock420,2631
rmatr200-p10,14746
rmatr200-p5,6611
rmine13,46715
rocII-5-11,5812
rocII-8-11,5586
roi5alpha10n8,15758
s100,113758
s250r10,108737
s55,84188
satellites2-25,12577
satellites2-40,12284
satellites2-60-fs,39268
scpk4,7891
scpl4,17384
scpm1,14588
scpn2,1024
sct5,17454
seqsolve1,6596
seqsolve2short4288,1654
seqsolve3short4288excess384,64957
shipsched,18885
snip10x10-35r1budget17,1888
sp97ar,78330
sp97ic,35487
sp98ic,79567
splice1k1,8513
square31,48350
stockholm,80542
supportcase10,36199
supportcase12,18782
supportcase23,2332
supportcase39,10494
supportcase40,5409
supportcase41,4998
t1717,27240
t1722,19133
tbfp-network,12181
thor50dday,13309
tpl-tub-ss16,114116
uccase12,64667
uccase7,33332
uccase8,22260
uccase9,20465
usafa,4535
v150d30-2hopcds,5583
van,81155
vpphard,2912
wnq-n100-mw99-14,11137
woodlands09,3857
z26,2952
