Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
adult-max5features;53661;406,2246868610382;1,3419724479779194e-07;0,0;9,99595208997894e-07;OPTIMAL
bab5;33518;251,13229894638062;9,999987259274203e-07;0,0;7,095538921399593e-07;OPTIMAL
cdc7-4-3-2;37;0,09759712219238281;1,20899642630512e-07;0,0;9,43203502991432e-07;OPTIMAL
chromaticindex1024-7;170;0,45740699768066406;5,664000539017879e-08;0,0;7,757177280329708e-07;OPTIMAL
chromaticindex512-7;161;0,4351780414581299;7,505127614937379e-07;0,0;1,932778346058833e-07;OPTIMAL
circ10-3;352;1,035722017288208;4,999662600557394e-07;0,0;9,483161325848406e-07;OPTIMAL
cmflsp40-24-10-7;28295;213,09450912475586;9,969337221041328e-07;0,0;5,206440454626445e-07;OPTIMAL
cmflsp40-36-2-10;28585;216,78416895866394;9,994642821206918e-07;0,0;7,01950690792606e-07;OPTIMAL
ds;45177;334,25311398506165;2,53922166848497e-07;0,0;9,99905397566677e-07;OPTIMAL
dws008-03;213;0,6059169769287109;2,9591213748197537e-09;1,2875949741456665e-16;6,410628974951111e-08;OPTIMAL
dws012-02;155;0,42171287536621094;2,52947028841114e-10;8,64723514911438e-11;8,714145094912288e-07;OPTIMAL
dws012-03;225;0,9108858108520508;4,25002490065444e-08;4,911845251165664e-13;8,141606313657032e-07;OPTIMAL
ex10;422;1,2702879905700684;9,376482252854146e-07;0,0;8,356476561066579e-07;OPTIMAL
ex9;336;1,261336088180542;2,2290699908111833e-07;0,0;9,230061729592496e-07;OPTIMAL
fhnw-schedule-paira200;121;0,3183159828186035;2,748084089180657e-19;0,0;4,0132626179143815e-08;OPTIMAL
fhnw-schedule-paira400;191;0,5270228385925293;1,1046998669104289e-18;0,0;9,568902028386176e-07;OPTIMAL
fhnw-schedule-pairb200;251;0,743441104888916;5,329642138541869e-16;0,0;0,0;OPTIMAL
fhnw-schedule-pairb400;388;1,2577300071716309;6,217402752568564e-16;0,0;0,0;OPTIMAL
genus-sym-g62-2;136;0,36330389976501465;7,560946569951099e-07;0,0;1,8007205444668948e-07;OPTIMAL
