Instance;iters;time;rel_primal_res;rel_dual_res;rel_opt_gap;termination
adult-max5features;54457;422,1030352115631;3,165170765444403e-08;0,0;9,999189615423465e-07;OPTIMAL
bab5;12217;95,67944884300232;9,98310483169007e-07;0,0;8,976348416653902e-08;OPTIMAL
cdc7-4-3-2;37;0,10191702842712402;1,20899642630512e-07;0,0;9,43203502991432e-07;OPTIMAL
chromaticindex1024-7;287;1,1588618755340576;5,901755995019187e-07;0,0;9,934831606426494e-07;OPTIMAL
chromaticindex512-7;161;0,4472188949584961;7,505127614937379e-07;0,0;1,932778346058833e-07;OPTIMAL
circ10-3;383;3,2274839878082275;2,1509872709590144e-07;0,0;9,91608091186463e-07;OPTIMAL
cmflsp40-24-10-7;26533;202,71857690811157;6,314876193593244e-07;0,0;9,9736899916159e-07;OPTIMAL
cmflsp40-36-2-10;50637;385,5470280647278;9,998999791442779e-07;0,0;4,3743376933558305e-07;OPTIMAL
ds;47030;348,60196805000305;4,896739295712216e-07;0,0;9,998222622307792e-07;OPTIMAL
dws008-03;213;0,5892338752746582;2,9591213748197537e-09;1,2875949741456665e-16;6,410628974951111e-08;OPTIMAL
dws012-02;214;1,3685920238494873;3,602947137312021e-08;1,4772617739460018e-11;7,470437626829554e-07;OPTIMAL
dws012-03;288;1,6698529720306396;1,4094553491070835e-09;1,0365882661974688e-12;1,2831123985700553e-07;OPTIMAL
ex10;936;4,598129987716675;1,6429579319243715e-07;0,0;8,847021148484111e-07;OPTIMAL
ex9;609;2,903881072998047;2,3494661394174443e-07;0,0;9,266482360695897e-07;OPTIMAL
fhnw-schedule-paira200;121;0,3635249137878418;2,748084089180657e-19;0,0;4,0132626179143815e-08;OPTIMAL
fhnw-schedule-paira400;191;0,5729718208312988;1,1046998669104289e-18;0,0;9,568902028386176e-07;OPTIMAL
fhnw-schedule-pairb200;186;1,3483810424804688;2,6648210692709347e-16;0,0;1,7651754106367435e-07;OPTIMAL
fhnw-schedule-pairb400;478;2,9583191871643066;7,105603145792645e-16;0,0;6,589572342818529e-08;OPTIMAL
genus-sym-g62-2;160;0,9973258972167969;9,12317086765313e-07;0,0;5,8418659822884755e-09;OPTIMAL
ger50-17-trans-dfn-3t;81046;600,0018711090088;4,8019002569281396e-08;6,5378487354928925e-06;3,250148934599235e-06;TIME_LIMIT
graph20-80-1rand;738;3,1418418884277344;9,698819669982466e-07;0,0;2,854295901746304e-07;OPTIMAL
graph40-20-1rand;560;2,7367610931396484;7,684418945608229e-07;0,0;1,4786935749091073e-08;OPTIMAL
graph40-40-1rand;1039;6,019920825958252;8,450368904252178e-07;0,0;1,946855515184719e-08;OPTIMAL
ivu52;98732;600,0025570392609;0,00014053324486240277;0,0;1,0798603292668142e-07;TIME_LIMIT
neos-1171448;360;2,4982030391693115;2,5428672471412045e-09;9,253631637705688e-07;5,70318256681426e-09;OPTIMAL
neos-2629914-sudost;34;1,4019169807434082;8,28588567258759e-07;0,0;1,3711917058882077e-08;OPTIMAL
neos-2991472-kalu;148;0,4252641201019287;9,090844890544338e-09;0,0;2,271335690120686e-08;OPTIMAL
neos-3237086-abava;80;0,2181551456451416;2,948734073227834e-10;0,0;4,5692488687763326e-07;OPTIMAL
neos-3755335-nizao;432;2,7721378803253174;1,7318193521659834e-07;0,0;8,023511502554016e-07;OPTIMAL
neos-3759587-noosa;268;1,9127888679504395;8,00029966823509e-07;0,0;8,146292700352298e-07;OPTIMAL
neos-4408804-prosna;52583;204,8679370880127;9,992240078614501e-07;3,0645939889670884e-08;2,2112276216649309e-07;OPTIMAL
neos-4562542-watut;104108;478,8302400112152;9,088233990341977e-07;2,8113665758561956e-13;8,134259924145251e-07;OPTIMAL
neos-4647027-thurso;2555;37,63738393783569;5,7332487148973844e-11;7,074601828573365e-11;9,89411576930498e-07;OPTIMAL
neos-4647032-veleka;2835;56,10764288902283;8,95329759673645e-09;3,6277268448170784e-08;9,966847390823853e-07;OPTIMAL
neos-4724674-aorere;94570;600,0057721138;5,649716164222229e-09;1,1679687626703915e-06;0,0013825676800906213;TIME_LIMIT
neos-4976951-bunnoo;32774;186,94850301742554;6,092950440901719e-08;5,744059221846042e-07;8,89859678170468e-07;OPTIMAL
neos-5052403-cygnet;37813;147,4834280014038;6,063483896830609e-07;0,0;9,99019537891114e-07;OPTIMAL
neos-5083528-gimone;154;1,0353870391845703;7,494955669466806e-08;2,2541865624568568e-10;6,97590751082574e-07;OPTIMAL
neos-5104907-jarama;136601;600,0038549900055;2,101225770383451e-07;0,00018832193220053996;1,366021896773875e-06;TIME_LIMIT
neos-5129192-manaia;33353;179,49268698692322;5,333530304276544e-09;0,0;1,5561314545172e-07;OPTIMAL
neos-5149806-wieprz;242;0,9047019481658936;5,1900386491668815e-09;0,0;2,640672159259531e-07;OPTIMAL
